Epoch [100/100], Loss: 1.0484, Accuracy: 0.5337
learning_rate: 0.0001, batch_size: 500, hidden_size: 100, accuracy: 0.5337
Epoch [10/100], Loss: 1.0480, Accuracy: 0.5337
Epoch [20/100], Loss: 1.0482, Accuracy: 0.5337
Epoch [30/100], Loss: 1.0483, Accuracy: 0.5337
Epoch [40/100], Loss: 1.0485, Accuracy: 0.5337
Epoch [50/100], Loss: 1.0486, Accuracy: 0.5337
Epoch [60/100], Loss: 1.0487, Accuracy: 0.5337
Epoch [70/100], Loss: 1.0489, Accuracy: 0.5337
Epoch [80/100], Loss: 1.0490, Accuracy: 0.5337
Epoch [90/100], Loss: 1.0491, Accuracy: 0.5337
Epoch [100/100], Loss: 1.0491, Accuracy: 0.5337
learning_rate: 0.0001, batch_size: 500, hidden_size: 200, accuracy: 0.5337
Epoch [10/100], Loss: 1.0521, Accuracy: 0.5337
Epoch [20/100], Loss: 1.0520, Accuracy: 0.5337
Epoch [30/100], Loss: 1.0520, Accuracy: 0.5337
Epoch [40/100], Loss: 1.0519, Accuracy: 0.5337
Epoch [50/100], Loss: 1.0519, Accuracy: 0.5337
Epoch [60/100], Loss: 1.0518, Accuracy: 0.5337
Epoch [70/100], Loss: 1.0518, Accuracy: 0.5337
Epoch [80/100], Loss: 1.0517, Accuracy: 0.5337
Epoch [90/100], Loss: 1.0517, Accuracy: 0.5337
Epoch [100/100], Loss: 1.0516, Accuracy: 0.5337
learning_rate: 0.0001, batch_size: 500, hidden_size: 300, accuracy: 0.5337
Epoch [10/100], Loss: 1.0494, Accuracy: 0.5337
Epoch [20/100], Loss: 1.0496, Accuracy: 0.5337
Epoch [30/100], Loss: 1.0498, Accuracy: 0.5337
Epoch [40/100], Loss: 1.0499, Accuracy: 0.5337
Epoch [50/100], Loss: 1.0500, Accuracy: 0.5337
Epoch [60/100], Loss: 1.0501, Accuracy: 0.5337
Epoch [70/100], Loss: 1.0502, Accuracy: 0.5337
Epoch [80/100], Loss: 1.0503, Accuracy: 0.5337
Epoch [90/100], Loss: 1.0503, Accuracy: 0.5337
Epoch [100/100], Loss: 1.0504, Accuracy: 0.5337
learning_rate: 0.0001, batch_size: 500, hidden_size: 400, accuracy: 0.5337
Epoch [10/100], Loss: 1.0494, Accuracy: 0.5337
Epoch [20/100], Loss: 1.0495, Accuracy: 0.5337
Epoch [30/100], Loss: 1.0495, Accuracy: 0.5337
Epoch [40/100], Loss: 1.0495, Accuracy: 0.5337
Epoch [50/100], Loss: 1.0495, Accuracy: 0.5337
Epoch [60/100], Loss: 1.0495, Accuracy: 0.5337
Epoch [70/100], Loss: 1.0494, Accuracy: 0.5337
Epoch [80/100], Loss: 1.0494, Accuracy: 0.5337
Epoch [90/100], Loss: 1.0493, Accuracy: 0.5337
Epoch [100/100], Loss: 1.0493, Accuracy: 0.5337
learning_rate: 0.0001, batch_size: 500, hidden_size: 500, accuracy: 0.5337
Epoch [10/100], Loss: 1.0856, Accuracy: 0.5393
Epoch [20/100], Loss: 1.0856, Accuracy: 0.5393
Epoch [30/100], Loss: 1.0854, Accuracy: 0.5393
